0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.059900000000000156e-09,4.983200000000000074e+00,-8.613499999999999490e-01,-1.024500000000000009e-08,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000021e-02,8.260799999999999962e-07,-1.424799999999999894e-07,1.500000000000000000e+00,2.473800000000000066e-04,-4.263800000000000072e-05,3.008900000000000073e-11,4.929800000000000154e-02,-8.484800000000000675e-03,2.958199999999999980e-09,4.876500000000000057e+00,-8.356400000000000494e-01,-1.009599999999999988e-08,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000042e-02,6.573099999999999798e-06,-1.131300000000000078e-06,1.500000000000000000e+00,9.824099999999999673e-04,-1.688399999999999894e-04,5.916900000000000526e-11,9.753199999999999370e-02,-1.671299999999999869e-02,2.857999999999999850e-09,4.770500000000000185e+00,-8.101300000000000168e-01,-9.947399999999999791e-09,0.000000000000000000e+00,0.000000000000000000e+00
2.999999999999999889e-02,2.206499999999999965e-05,-3.789400000000000090e-06,1.500000000000000000e+00,2.194499999999999836e-03,-3.760600000000000010e-04,8.725400000000000444e-11,1.447100000000000053e-01,-2.468800000000000161e-02,2.759200000000000150e-09,4.665300000000000225e+00,-7.848399999999999821e-01,-9.800000000000000073e-09,0.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000083e-02,5.201800000000000239e-05,-8.914099999999999915e-06,1.500000000000000000e+00,3.873099999999999980e-03,-6.617700000000000015e-04,1.143600000000000063e-10,1.908400000000000096e-01,-3.241100000000000231e-02,2.662000000000000113e-09,4.560900000000000176e+00,-7.597699999999999454e-01,-9.653599999999999834e-09,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000278e-02,1.010500000000000032e-04,-1.727799999999999958e-05,1.500000000000000000e+00,6.007900000000000046e-03,-1.023400000000000047e-03,1.405000000000000060e-10,2.359300000000000008e-01,-3.988400000000000278e-02,2.566200000000000093e-09,4.457099999999999618e+00,-7.349099999999999522e-01,-9.507999999999999840e-09,0.000000000000000000e+00,0.000000000000000000e+00
5.999999999999999778e-02,1.736599999999999873e-04,-2.962800000000000161e-05,1.500000000000000000e+00,8.588300000000000101e-03,-1.458600000000000001e-03,1.656899999999999986e-10,2.799900000000000166e-01,-4.710999999999999910e-02,2.471800000000000088e-09,4.354199999999999626e+00,-7.102699999999999569e-01,-9.363399999999999326e-09,0.000000000000000000e+00,0.000000000000000000e+00
7.000000000000000666e-02,2.742600000000000203e-04,-4.668700000000000210e-05,1.500000000000000000e+00,1.160399999999999973e-02,-1.964800000000000053e-03,1.899399999999999924e-10,3.230199999999999738e-01,-5.408999999999999919e-02,2.378900000000000129e-09,4.251900000000000013e+00,-6.858400000000000052e-01,-9.219699999999999502e-09,0.000000000000000000e+00,0.000000000000000000e+00
8.000000000000000167e-02,4.071599999999999981e-04,-6.915299999999999334e-05,1.500000000000000000e+00,1.504499999999999935e-02,-2.539599999999999930e-03,2.132700000000000039e-10,3.650300000000000211e-01,-6.082800000000000012e-02,2.287400000000000187e-09,4.150500000000000078e+00,-6.616300000000000514e-01,-9.076900000000000367e-09,0.000000000000000000e+00,0.000000000000000000e+00
8.999999999999999667e-02,5.765500000000000009e-04,-9.770000000000000310e-05,1.500000000000000000e+00,1.890100000000000113e-02,-3.180600000000000007e-03,2.356899999999999895e-10,4.060300000000000020e-01,-6.732399999999999496e-02,2.197399999999999877e-09,4.049699999999999633e+00,-6.376300000000000301e-01,-8.935000000000000268e-09,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000056e-01,7.865399999999999605e-04,-1.329799999999999906e-04,1.500000000000000000e+00,2.316199999999999856e-02,-3.885299999999999952e-03,2.572200000000000175e-10,4.460299999999999820e-01,-7.358099999999999363e-02,2.108699999999999966e-09,3.949800000000000200e+00,-6.138400000000000523e-01,-8.793999999999999204e-09,0.000000000000000000e+00,0.000000000000000000e+00
1.100000000000000006e-01,1.041100000000000098e-03,-1.756100000000000076e-04,1.500000000000000000e+00,2.781899999999999998e-02,-4.651399999999999979e-03,2.778699999999999927e-10,4.850300000000000167e-01,-7.960100000000000509e-02,2.021500000000000102e-09,3.850499999999999812e+00,-5.902800000000000269e-01,-8.653999999999999274e-09,0.000000000000000000e+00,0.000000000000000000e+00
1.199999999999999956e-01,1.344200000000000039e-03,-2.261999999999999959e-04,1.500000000000000000e+00,3.286000000000000032e-02,-5.476499999999999597e-03,2.976599999999999833e-10,5.230399999999999494e-01,-8.538700000000000456e-02,1.935599999999999809e-09,3.752099999999999991e+00,-5.669199999999999795e-01,-8.514799999999999589e-09,0.000000000000000000e+00,0.000000000000000000e+00
1.300000000000000044e-01,1.699599999999999896e-03,-2.853299999999999803e-04,1.500000000000000000e+00,3.827599999999999753e-02,-6.358400000000000163e-03,3.165899999999999893e-10,5.600699999999999568e-01,-9.093999999999999306e-02,1.851199999999999977e-09,3.654300000000000104e+00,-5.437800000000000411e-01,-8.376599999999999384e-09,0.000000000000000000e+00,0.000000000000000000e+00
1.400000000000000133e-01,2.110900000000000189e-03,-3.535500000000000014e-04,1.500000000000000000e+00,4.405799999999999994e-02,-7.294600000000000042e-03,3.346799999999999754e-10,5.961300000000000487e-01,-9.626300000000000134e-02,1.768099999999999922e-09,3.557300000000000129e+00,-5.208599999999999897e-01,-8.239299999999999868e-09,0.000000000000000000e+00,0.000000000000000000e+00
